file,line,classification,text
apps\public_nextjs\app\architecture\page.tsx,4,UNVERIFIED,"export default function Architecture(){return <section className=""page-hero""><div className=""container""><SectionHeading eyebrow=""Current source architecture"" title=""Applications and service boundaries"" body=""This describes the repository implementation, not a guarantee of deployed availability.""/><div className=""architecture-stack"">{layers.map(([a,b],i)=><div key={a}><span>{i+1}</span><h3>{a}</h3><p>{b}</p></div>)}</div><p>Keycloak, a worker queue, MinIO, managed Vault encryption and a monitoring history service are not integrated production dependencies of the current API.</p></div></section>}"
apps\public_nextjs\app\docs\page.tsx,1,UNVERIFIED,"import Link from 'next/link';import {BookOpen,Code2,FlaskConical,LockKeyhole}from'lucide-react';import {SectionHeading}from'@/components/section-heading';export const metadata={title:'Documentation'};const docs=[{i:Code2,t:'Quick start',d:'Install and run the engine, backend, desktop, mobile and web modules.'},{i:FlaskConical,t:'Benchmark methodology',d:'Held-out data, SHA-256 equality, BPB, ratios, throughput and limitations.'},{i:LockKeyhole,t:'Security model',d:'Identity, scanning, encryption boundary, share codes, audit and production checklist.'},{i:BookOpen,t:'Architecture guide',d:'Monorepo structure, contracts, service responsibilities and integration flows.'}];export default function Docs(){return <section className=""page-hero""><div className=""container""><SectionHeading eyebrow=""Developer resources"" title=""Build the platform one verified module at a time"" body=""The source packages contain module-specific READMEs, runbooks, contracts and security checklists.""/><div className=""feature-grid"">{docs.map(({i:I,t,d})=><article key={t}><I/><h3>{t}</h3><p>{d}</p></article>)}</div><p className=""center""><Link className=""button"" href=""/architecture"">View architecture</Link></p></div></section>}"
apps\public_nextjs\app\downloads\page.tsx,8,UNVERIFIED," return <section className=""page-hero""><div className=""container""><SectionHeading eyebrow=""Application availability"" title=""Production releases"" body=""Only reviewed, signed and installation-tested production releases are listed for download. Source code and local test builds are not production distribution.""/><div className=""download-grid"">{platforms.map(([platform,label])=>{"
apps\public_nextjs\app\downloads\page.tsx,10,UNVERIFIED," return <article key={platform}><h2>{label}</h2>{release?<><p>{release.version} · {release.architecture}</p><p>{release.sizeBytes.toLocaleString()} bytes · {release.releasedAt}</p><p>{release.releaseNotes}</p><p style={{overflowWrap:'anywhere'}}>SHA-256: {release.sha256}</p><a className=""button"" href={release.url}>Download {release.filename}</a></>:<><p>{label} release is not available yet.</p><button className=""button"" disabled>Download unavailable</button></>}</article>;"
apps\public_nextjs\app\downloads\page.tsx,11,UNVERIFIED," })}</div><p>Historical Android builds used debug signing and Windows builds were unsigned. These are test artifacts, not public production releases.</p></div></section>;"
apps\public_nextjs\app\page.tsx,4,UNVERIFIED,"export default function Home(){return <><section className=""hero""><div className=""container narrow""><span className=""eyebrow"">Research platform</span><h1>XAI-Compress</h1><p className=""lead"">A lossless compression project with a Python engine, a cloud API, a web portal, a desktop client and a mobile authenticator.</p><div className=""hero-actions""><Link className=""button"" href=""/downloads"">Check application availability</Link><Link className=""button secondary"" href=""/architecture"">Explore architecture</Link></div><p>Public production application downloads are not available yet. Compression results depend on the input and selected codec; no performance or saving is guaranteed.</p></div></section><section id=""features"" className=""section""><div className=""container""><SectionHeading eyebrow=""Implemented workflows"" title=""Project capabilities"" body=""The source implements compression and decompression, file history, account authentication, TOTP enrollment and recipient-bound share codes. Deployment and service readiness must be verified separately.""/><div className=""feature-grid""><article><h3>Compression engine</h3><p>Local static and neural compression workflows with reconstruction integrity checks.</p></article><article><h3>Cloud portal</h3><p>Account-based file processing, history and downloads. Processing fails closed when required security scanning is unavailable.</p><Link href=""/status"">Check current service readiness</Link></article><article><h3>Authenticator</h3><p>Local TOTP account storage, code generation and enrollment. Mobile release signing and distribution remain pending.</p></article></div><p>Managed envelope encryption, passkeys, enterprise SSO and device management are not offered as verified production capabilities.</p></div></section><Cta/></>}"
apps\public_nextjs\app\pricing\page.tsx,3,UNVERIFIED,"export default function Pricing(){return <section className=""page-hero""><div className=""container narrow""><SectionHeading eyebrow=""Service availability"" title=""Public pricing is not available yet"" body=""This platform has no implemented checkout, subscription billing or purchasable plan tiers.""/><p>No paid plan or enterprise service is offered on this page. Account access does not establish a service-level agreement or a future pricing commitment.</p></div></section>}"
apps\public_nextjs\app\privacy\page.tsx,3,UNVERIFIED,"export default function Privacy(){return <section className=""page-hero""><div className=""container narrow""><SectionHeading eyebrow=""Data-processing disclosure — policy draft"" title=""Privacy and data use"" body=""This describes the current source implementation. Operator identity, contact details, retention periods and legal terms still require operator review; this is not a finalized privacy policy.""/><h2>Accounts and authentication</h2><p>The API stores account email, display name, a password hash, role, MFA state and TOTP enrollment information, including secrets needed for verification. Refresh tokens are stored as hashes. The web portal stores access and refresh tokens in browser local storage. The admin session holds tokens in its server-side circuit.</p><h2>Files and activity</h2><p>Cloud processing sends file contents to the backend for scanning, compression or decompression. Stored records include filenames, sizes, checksums, codec, status, ownership and artifact locations. Sharing stores recipient email, code hashes, expiration and download counters. Audit records contain account identifiers, actions, resources, results and timestamps.</p><h2>Email and devices</h2><p>Configured email providers process delivery addresses and message contents for enrollment or file email. Mobile authenticator accounts and TOTP secrets use device secure storage. Desktop settings and history are stored locally; cloud workflows transmit data to the configured API.</p><h2>Unresolved operator decisions</h2><p>No verified automatic retention schedule or self-service account deletion flow is provided. Share-code expiry does not delete stored files. Hosting access logs, IP metadata, backups, provider retention, data location, deletion requests and an operator contact must be documented before production approval.</p><p>No compliance certification, end-to-end encryption or guaranteed deletion period is asserted here.</p></div></section>}"
apps\public_nextjs\app\security\page.tsx,4,UNVERIFIED,"export default function Security(){return <section className=""page-hero""><div className=""container narrow""><SectionHeading eyebrow=""Implementation and limitations"" title=""Security boundaries"" body=""The API enforces account authorization, administrator roles, upload limits and TOTP authentication when enabled.""/><h2>File processing</h2><p>Cloud processing integrates ClamAV and YARA checks. Required scanner failures block processing; architecture does not establish that a scanner is currently operational. <Link href=""/status"">View current readiness</Link>.</p><p>Compression uses reconstruction and SHA-256 integrity checks. These checks are not encryption and do not guarantee that a file is harmless.</p><h2>Sharing and storage</h2><p>Share codes are restricted to a recipient account, expiration and download count. The backend processes file contents and stores artifacts. End-to-end encryption, zero-knowledge storage and managed envelope encryption are not verified capabilities.</p><h2>Identity and assurance</h2><p>The current API uses password authentication, access and refresh tokens, and TOTP. Enterprise SSO, passkeys and external security certification are not established by this implementation.</p><Link href=""/privacy"">Read data-processing information and unresolved privacy requirements</Link></div></section>}"
apps\public_nextjs\app\share\[code]\page.tsx,5,UNVERIFIED, let available=false;
